from_table,from_column,to_table,to_column,relationship_type,status
fact_account_balance_daily,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_account_balance_daily,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_account_balance_daily,product_key,dim_product,product_key,many_to_one_optional,synthetic_candidate
fact_account_balance_daily,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_account_balance_daily,channel_key,dim_channel,channel_key,many_to_one_optional,synthetic_candidate
fact_account_balance_daily,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_account_balance_daily,deposit_product_key,dim_deposit_product,deposit_product_key,many_to_one_optional,synthetic_candidate
fact_account_balance_daily,deposit_term_key,dim_deposit_term,deposit_term_key,many_to_one_optional,synthetic_candidate
fact_account_balance_daily,account_status_key,dim_account_status,account_status_key,many_to_one_optional,synthetic_candidate
fact_account_balance_daily,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_account_transaction,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_account_transaction,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_account_transaction,product_key,dim_product,product_key,many_to_one_optional,synthetic_candidate
fact_account_transaction,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_account_transaction,channel_key,dim_channel,channel_key,many_to_one_optional,synthetic_candidate
fact_account_transaction,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_account_transaction,deposit_product_key,dim_deposit_product,deposit_product_key,many_to_one_optional,synthetic_candidate
fact_account_transaction,deposit_term_key,dim_deposit_term,deposit_term_key,many_to_one_optional,synthetic_candidate
fact_account_transaction,account_status_key,dim_account_status,account_status_key,many_to_one_optional,synthetic_candidate
fact_account_transaction,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_deposit_balance_daily,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_deposit_balance_daily,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_deposit_balance_daily,product_key,dim_product,product_key,many_to_one_optional,synthetic_candidate
fact_deposit_balance_daily,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_deposit_balance_daily,channel_key,dim_channel,channel_key,many_to_one_optional,synthetic_candidate
fact_deposit_balance_daily,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_deposit_balance_daily,deposit_product_key,dim_deposit_product,deposit_product_key,many_to_one_optional,synthetic_candidate
fact_deposit_balance_daily,deposit_term_key,dim_deposit_term,deposit_term_key,many_to_one_optional,synthetic_candidate
fact_deposit_balance_daily,account_status_key,dim_account_status,account_status_key,many_to_one_optional,synthetic_candidate
fact_deposit_balance_daily,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_deposit_interest_accrual,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_deposit_interest_accrual,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_deposit_interest_accrual,product_key,dim_product,product_key,many_to_one_optional,synthetic_candidate
fact_deposit_interest_accrual,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_deposit_interest_accrual,channel_key,dim_channel,channel_key,many_to_one_optional,synthetic_candidate
fact_deposit_interest_accrual,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_deposit_interest_accrual,deposit_product_key,dim_deposit_product,deposit_product_key,many_to_one_optional,synthetic_candidate
fact_deposit_interest_accrual,deposit_term_key,dim_deposit_term,deposit_term_key,many_to_one_optional,synthetic_candidate
fact_deposit_interest_accrual,account_status_key,dim_account_status,account_status_key,many_to_one_optional,synthetic_candidate
fact_deposit_interest_accrual,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_deposit_maturity,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_deposit_maturity,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_deposit_maturity,product_key,dim_product,product_key,many_to_one_optional,synthetic_candidate
fact_deposit_maturity,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_deposit_maturity,channel_key,dim_channel,channel_key,many_to_one_optional,synthetic_candidate
fact_deposit_maturity,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_deposit_maturity,deposit_product_key,dim_deposit_product,deposit_product_key,many_to_one_optional,synthetic_candidate
fact_deposit_maturity,deposit_term_key,dim_deposit_term,deposit_term_key,many_to_one_optional,synthetic_candidate
fact_deposit_maturity,account_status_key,dim_account_status,account_status_key,many_to_one_optional,synthetic_candidate
fact_deposit_maturity,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_overdraft_usage_daily,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_overdraft_usage_daily,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_overdraft_usage_daily,product_key,dim_product,product_key,many_to_one_optional,synthetic_candidate
fact_overdraft_usage_daily,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_overdraft_usage_daily,channel_key,dim_channel,channel_key,many_to_one_optional,synthetic_candidate
fact_overdraft_usage_daily,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_overdraft_usage_daily,deposit_product_key,dim_deposit_product,deposit_product_key,many_to_one_optional,synthetic_candidate
fact_overdraft_usage_daily,deposit_term_key,dim_deposit_term,deposit_term_key,many_to_one_optional,synthetic_candidate
fact_overdraft_usage_daily,account_status_key,dim_account_status,account_status_key,many_to_one_optional,synthetic_candidate
fact_overdraft_usage_daily,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_account_fee,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_account_fee,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_account_fee,product_key,dim_product,product_key,many_to_one_optional,synthetic_candidate
fact_account_fee,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_account_fee,channel_key,dim_channel,channel_key,many_to_one_optional,synthetic_candidate
fact_account_fee,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_account_fee,deposit_product_key,dim_deposit_product,deposit_product_key,many_to_one_optional,synthetic_candidate
fact_account_fee,deposit_term_key,dim_deposit_term,deposit_term_key,many_to_one_optional,synthetic_candidate
fact_account_fee,account_status_key,dim_account_status,account_status_key,many_to_one_optional,synthetic_candidate
fact_account_fee,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_account_hold,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_account_hold,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_account_hold,product_key,dim_product,product_key,many_to_one_optional,synthetic_candidate
fact_account_hold,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_account_hold,channel_key,dim_channel,channel_key,many_to_one_optional,synthetic_candidate
fact_account_hold,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_account_hold,deposit_product_key,dim_deposit_product,deposit_product_key,many_to_one_optional,synthetic_candidate
fact_account_hold,deposit_term_key,dim_deposit_term,deposit_term_key,many_to_one_optional,synthetic_candidate
fact_account_hold,account_status_key,dim_account_status,account_status_key,many_to_one_optional,synthetic_candidate
fact_account_hold,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_loan_balance_daily,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_loan_balance_daily,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_loan_balance_daily,loan_product_key,dim_loan_product,loan_product_key,many_to_one_optional,synthetic_candidate
fact_loan_balance_daily,loan_purpose_key,dim_loan_purpose,loan_purpose_key,many_to_one_optional,synthetic_candidate
fact_loan_balance_daily,collateral_type_key,dim_collateral_type,collateral_type_key,many_to_one_optional,synthetic_candidate
fact_loan_balance_daily,credit_rating_key,dim_credit_rating,credit_rating_key,many_to_one_optional,synthetic_candidate
fact_loan_balance_daily,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_loan_balance_daily,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_loan_balance_daily,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_loan_disbursement,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_loan_disbursement,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_loan_disbursement,loan_product_key,dim_loan_product,loan_product_key,many_to_one_optional,synthetic_candidate
fact_loan_disbursement,loan_purpose_key,dim_loan_purpose,loan_purpose_key,many_to_one_optional,synthetic_candidate
fact_loan_disbursement,collateral_type_key,dim_collateral_type,collateral_type_key,many_to_one_optional,synthetic_candidate
fact_loan_disbursement,credit_rating_key,dim_credit_rating,credit_rating_key,many_to_one_optional,synthetic_candidate
fact_loan_disbursement,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_loan_disbursement,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_loan_disbursement,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_loan_repayment,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_loan_repayment,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_loan_repayment,loan_product_key,dim_loan_product,loan_product_key,many_to_one_optional,synthetic_candidate
fact_loan_repayment,loan_purpose_key,dim_loan_purpose,loan_purpose_key,many_to_one_optional,synthetic_candidate
fact_loan_repayment,collateral_type_key,dim_collateral_type,collateral_type_key,many_to_one_optional,synthetic_candidate
fact_loan_repayment,credit_rating_key,dim_credit_rating,credit_rating_key,many_to_one_optional,synthetic_candidate
fact_loan_repayment,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_loan_repayment,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_loan_repayment,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_loan_interest_accrual,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_loan_interest_accrual,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_loan_interest_accrual,loan_product_key,dim_loan_product,loan_product_key,many_to_one_optional,synthetic_candidate
fact_loan_interest_accrual,loan_purpose_key,dim_loan_purpose,loan_purpose_key,many_to_one_optional,synthetic_candidate
fact_loan_interest_accrual,collateral_type_key,dim_collateral_type,collateral_type_key,many_to_one_optional,synthetic_candidate
fact_loan_interest_accrual,credit_rating_key,dim_credit_rating,credit_rating_key,many_to_one_optional,synthetic_candidate
fact_loan_interest_accrual,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_loan_interest_accrual,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_loan_interest_accrual,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_loan_delinquency_daily,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_loan_delinquency_daily,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_loan_delinquency_daily,loan_product_key,dim_loan_product,loan_product_key,many_to_one_optional,synthetic_candidate
fact_loan_delinquency_daily,loan_purpose_key,dim_loan_purpose,loan_purpose_key,many_to_one_optional,synthetic_candidate
fact_loan_delinquency_daily,collateral_type_key,dim_collateral_type,collateral_type_key,many_to_one_optional,synthetic_candidate
fact_loan_delinquency_daily,credit_rating_key,dim_credit_rating,credit_rating_key,many_to_one_optional,synthetic_candidate
fact_loan_delinquency_daily,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_loan_delinquency_daily,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_loan_delinquency_daily,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_loan_loss_provision,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_loan_loss_provision,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_loan_loss_provision,loan_product_key,dim_loan_product,loan_product_key,many_to_one_optional,synthetic_candidate
fact_loan_loss_provision,loan_purpose_key,dim_loan_purpose,loan_purpose_key,many_to_one_optional,synthetic_candidate
fact_loan_loss_provision,collateral_type_key,dim_collateral_type,collateral_type_key,many_to_one_optional,synthetic_candidate
fact_loan_loss_provision,credit_rating_key,dim_credit_rating,credit_rating_key,many_to_one_optional,synthetic_candidate
fact_loan_loss_provision,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_loan_loss_provision,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_loan_loss_provision,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_collateral_valuation,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_collateral_valuation,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_collateral_valuation,loan_product_key,dim_loan_product,loan_product_key,many_to_one_optional,synthetic_candidate
fact_collateral_valuation,loan_purpose_key,dim_loan_purpose,loan_purpose_key,many_to_one_optional,synthetic_candidate
fact_collateral_valuation,collateral_type_key,dim_collateral_type,collateral_type_key,many_to_one_optional,synthetic_candidate
fact_collateral_valuation,credit_rating_key,dim_credit_rating,credit_rating_key,many_to_one_optional,synthetic_candidate
fact_collateral_valuation,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_collateral_valuation,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
fact_collateral_valuation,business_date_key,dim_date,date_key,many_to_one_required,synthetic_candidate
fact_credit_limit_usage_daily,customer_key,dim_customer,customer_key,many_to_one_optional,synthetic_candidate
fact_credit_limit_usage_daily,account_key,dim_account,account_key,many_to_one_optional,synthetic_candidate
fact_credit_limit_usage_daily,loan_product_key,dim_loan_product,loan_product_key,many_to_one_optional,synthetic_candidate
fact_credit_limit_usage_daily,loan_purpose_key,dim_loan_purpose,loan_purpose_key,many_to_one_optional,synthetic_candidate
fact_credit_limit_usage_daily,collateral_type_key,dim_collateral_type,collateral_type_key,many_to_one_optional,synthetic_candidate
fact_credit_limit_usage_daily,credit_rating_key,dim_credit_rating,credit_rating_key,many_to_one_optional,synthetic_candidate
fact_credit_limit_usage_daily,currency_key,dim_currency,currency_key,many_to_one_optional,synthetic_candidate
fact_credit_limit_usage_daily,branch_key,dim_branch,branch_key,many_to_one_optional,synthetic_candidate
