schema_name,table_name,table_type,domain,grain,column_count,design_status
bank_dwh,dim_date,dimension,conformed,One row per calendar date.,32,synthetic_fixture
bank_dwh,dim_time,dimension,conformed,One row per time-of-day member.,24,synthetic_fixture
bank_dwh,dim_customer,dimension,conformed,One row per version of a customer member.,62,synthetic_fixture
bank_dwh,dim_household,dimension,conformed,One row per version of a household member.,45,synthetic_fixture
bank_dwh,dim_party,dimension,conformed,One row per version of a party member.,62,synthetic_fixture
bank_dwh,dim_account,dimension,conformed,One row per version of an account member.,62,synthetic_fixture
bank_dwh,dim_product,dimension,conformed,One row per version of a product member.,62,synthetic_fixture
bank_dwh,dim_branch,dimension,conformed,One row per version of a branch member.,45,synthetic_fixture
bank_dwh,dim_channel,dimension,conformed,One row per version of a channel member.,45,synthetic_fixture
bank_dwh,dim_currency,dimension,conformed,One row per version of a currency member.,35,synthetic_fixture
bank_dwh,dim_organization,dimension,conformed,One row per version of an organization member.,45,synthetic_fixture
bank_dwh,dim_employee,dimension,conformed,One row per version of an employee member.,45,synthetic_fixture
bank_dwh,dim_deposit_product,dimension,deposits,One row per version of a deposit product member.,45,synthetic_fixture
bank_dwh,dim_deposit_term,dimension,deposits,One row per version of a deposit term member.,35,synthetic_fixture
bank_dwh,dim_interest_rate_plan,dimension,deposits,One row per version of an interest rate plan member.,45,synthetic_fixture
bank_dwh,dim_account_status,dimension,deposits,One row per version of an account status member.,35,synthetic_fixture
bank_dwh,dim_account_relationship,dimension,deposits,One row per version of an account relationship member.,45,synthetic_fixture
bank_dwh,dim_loan_product,dimension,lending,One row per version of a loan product member.,62,synthetic_fixture
bank_dwh,dim_loan_purpose,dimension,lending,One row per version of a loan purpose member.,35,synthetic_fixture
bank_dwh,dim_collateral_type,dimension,lending,One row per version of a collateral type member.,35,synthetic_fixture
bank_dwh,dim_credit_rating,dimension,lending,One row per version of a credit rating member.,35,synthetic_fixture
bank_dwh,dim_delinquency_band,dimension,lending,One row per version of a delinquency band member.,35,synthetic_fixture
bank_dwh,dim_repayment_plan,dimension,lending,One row per version of a repayment plan member.,45,synthetic_fixture
bank_dwh,dim_facility_type,dimension,lending,One row per version of a facility type member.,35,synthetic_fixture
bank_dwh,dim_payment_type,dimension,payments_cards,One row per version of a payment type member.,35,synthetic_fixture
